shipment_id,linehaul_cost,fuel_surcharge,accessorial_cost,total_cost,invoice_status
S0001,1150,190,60,1400,Closed
S0002,1080,180,60,1320,Closed
S0003,820,120,40,980,Closed
S0004,790,115,40,945,Closed
S0005,1360,220,80,1660,Closed
S0006,1265,200,70,1535,Closed
S0007,980,150,45,1175,Closed
S0009,1190,200,60,1450,Closed
S0010,1140,190,60,1390,Closed
S0011,850,120,40,1010,Closed
S0012,810,115,40,965,Closed
S0013,1300,220,80,1600,Closed
S0014,1315,210,80,1605,Closed
S0015,955,140,45,1140,Closed
S0016,920,130,45,1095,Closed
S0017,1280,230,70,1580,Closed
S0018,1220,210,70,1500,Closed
S0019,920,135,45,1100,Closed
S0020,885,125,45,1055,Closed
S0021,1530,275,95,1900,Closed
S0022,1475,265,90,1830,Closed
S0023,940,135,45,1120,Closed
S0024,990,140,45,1175,Closed
S0025,1160,190,60,1410,Accrued
S0026,1135,185,60,1380,Accrued
S0027,945,135,45,1125,Accrued
S0028,935,135,45,1115,Accrued
S0029,1430,245,85,1760,Accrued
S0030,1415,245,85,1745,Accrued
S0031,975,140,45,1160,Accrued
S0032,940,135,45,1120,Accrued
