shipment_id,week_start,region,lane,origin_fc,destination_fc,carrier,ship_mode,units,planned_transit_days,actual_transit_days,on_time_flag
S0001,2026-05-04,NA East,DFW1->EWR8,DFW1,EWR8,Carrier A,Truckload,580,3,3,1
S0002,2026-05-04,NA East,DFW1->EWR8,DFW1,EWR8,Carrier B,Truckload,540,3,4,0
S0003,2026-05-04,NA East,ATL2->BWI4,ATL2,BWI4,Carrier A,Truckload,470,2,2,1
S0004,2026-05-04,NA East,ATL2->BWI4,ATL2,BWI4,Carrier C,Truckload,430,2,2,1
S0005,2026-05-04,NA West,ONT8->SEA6,ONT8,SEA6,Carrier D,Intermodal,640,4,5,0
S0006,2026-05-04,NA West,ONT8->SEA6,ONT8,SEA6,Carrier B,Intermodal,590,4,4,1
S0007,2026-05-04,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier C,Truckload,510,2,2,1
S0008,2026-05-04,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier A,Truckload,500,2,3,0
S0009,2026-05-11,NA East,DFW1->EWR8,DFW1,EWR8,Carrier A,Truckload,600,3,3,1
S0010,2026-05-11,NA East,DFW1->EWR8,DFW1,EWR8,Carrier B,Truckload,570,3,3,1
S0011,2026-05-11,NA East,ATL2->BWI4,ATL2,BWI4,Carrier A,Truckload,490,2,2,1
S0012,2026-05-11,NA East,ATL2->BWI4,ATL2,BWI4,Carrier C,Truckload,460,2,2,1
S0013,2026-05-11,NA West,ONT8->SEA6,ONT8,SEA6,Carrier D,Intermodal,620,4,4,1
S0014,2026-05-11,NA West,ONT8->SEA6,ONT8,SEA6,Carrier B,Intermodal,610,4,5,0
S0015,2026-05-11,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier C,Truckload,500,2,2,1
S0016,2026-05-11,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier A,Truckload,470,2,2,1
S0017,2026-05-18,NA East,DFW1->EWR8,DFW1,EWR8,Carrier A,Truckload,650,3,4,0
S0018,2026-05-18,NA East,DFW1->EWR8,DFW1,EWR8,Carrier B,Truckload,610,3,3,1
S0019,2026-05-18,NA East,ATL2->BWI4,ATL2,BWI4,Carrier A,Truckload,515,2,2,1
S0020,2026-05-18,NA East,ATL2->BWI4,ATL2,BWI4,Carrier C,Truckload,505,2,2,1
S0021,2026-05-18,NA West,ONT8->SEA6,ONT8,SEA6,Carrier D,Intermodal,700,4,5,0
S0022,2026-05-18,NA West,ONT8->SEA6,ONT8,SEA6,Carrier B,Intermodal,650,4,5,0
S0023,2026-05-18,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier C,Truckload,480,2,2,1
S0024,2026-05-18,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier A,Truckload,495,2,2,1
S0025,2026-05-25,NA East,DFW1->EWR8,DFW1,EWR8,Carrier A,Truckload,590,3,3,1
S0026,2026-05-25,NA East,DFW1->EWR8,DFW1,EWR8,Carrier B,Truckload,570,3,3,1
S0027,2026-05-25,NA East,ATL2->BWI4,ATL2,BWI4,Carrier A,Truckload,540,2,2,1
S0028,2026-05-25,NA East,ATL2->BWI4,ATL2,BWI4,Carrier C,Truckload,535,2,3,0
S0029,2026-05-25,NA West,ONT8->SEA6,ONT8,SEA6,Carrier D,Intermodal,690,4,4,1
S0030,2026-05-25,NA West,ONT8->SEA6,ONT8,SEA6,Carrier B,Intermodal,660,4,4,1
S0031,2026-05-25,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier C,Truckload,500,2,2,1
S0032,2026-05-25,NA Central,ORD5->MSP9,ORD5,MSP9,Carrier A,Truckload,480,2,2,1
