week_start,region,lane,planned_units,actual_units,unit_variance,planned_cost,actual_cost,total_variance,plan_cost_per_unit,actual_cost_per_unit,volume_variance,rate_variance,missing_cost_shipments
2026-05-04,"NA Central",ORD5->MSP9,1000,1010,10,2300.0,1175.0,-1125.0,2.3,1.1634,23.0,-1148.0,1
2026-05-04,"NA West",ONT8->SEA6,1200,1230,30,3000.0,3195.0,195.0,2.5,2.5976,75.0,120.0,0
2026-05-04,"NA East",DFW1->EWR8,1100,1120,20,2640.0,2720.0,80.0,2.4,2.4286,48.0,32.0,0
2026-05-04,"NA East",ATL2->BWI4,950,900,-50,1995.0,1925.0,-70.0,2.1,2.1389,-105.0,35.0,0
2026-05-11,"NA East",DFW1->EWR8,1150,1170,20,2760.0,2840.0,80.0,2.4,2.4274,48.0,32.0,0
2026-05-11,"NA West",ONT8->SEA6,1250,1230,-20,3125.0,3205.0,80.0,2.5,2.6057,-50.0,130.0,0
2026-05-11,"NA East",ATL2->BWI4,950,950,0,1995.0,1975.0,-20.0,2.1,2.0789,0.0,-20.0,0
2026-05-11,"NA Central",ORD5->MSP9,980,970,-10,2254.0,2235.0,-19.0,2.3,2.3041,-23.0,4.0,0
2026-05-18,"NA West",ONT8->SEA6,1250,1350,100,3125.0,3730.0,605.0,2.5,2.763,250.0,355.0,0
2026-05-18,"NA East",DFW1->EWR8,1200,1260,60,2880.0,3080.0,200.0,2.4,2.4444,144.0,56.0,0
2026-05-18,"NA East",ATL2->BWI4,1000,1020,20,2100.0,2155.0,55.0,2.1,2.1127,42.0,13.0,0
2026-05-18,"NA Central",ORD5->MSP9,1000,975,-25,2300.0,2295.0,-5.0,2.3,2.3538,-57.5,52.5,0
2026-05-25,"NA West",ONT8->SEA6,1300,1350,50,3250.0,3505.0,255.0,2.5,2.5963,125.0,130.0,0
2026-05-25,"NA East",DFW1->EWR8,1180,1160,-20,2832.0,2790.0,-42.0,2.4,2.4052,-48.0,6.0,0
2026-05-25,"NA East",ATL2->BWI4,1050,1075,25,2205.0,2240.0,35.0,2.1,2.0837,52.5,-17.5,0
2026-05-25,"NA Central",ORD5->MSP9,990,980,-10,2277.0,2280.0,3.0,2.3,2.3265,-23.0,26.0,0
