week_start,region,lane,planned_units,planned_cost,forecast_cost_per_unit
2026-05-04,NA East,DFW1->EWR8,1100,2640,2.40
2026-05-04,NA East,ATL2->BWI4,950,1995,2.10
2026-05-04,NA West,ONT8->SEA6,1200,3000,2.50
2026-05-04,NA Central,ORD5->MSP9,1000,2300,2.30
2026-05-11,NA East,DFW1->EWR8,1150,2760,2.40
2026-05-11,NA East,ATL2->BWI4,950,1995,2.10
2026-05-11,NA West,ONT8->SEA6,1250,3125,2.50
2026-05-11,NA Central,ORD5->MSP9,980,2254,2.30
2026-05-18,NA East,DFW1->EWR8,1200,2880,2.40
2026-05-18,NA East,ATL2->BWI4,1000,2100,2.10
2026-05-18,NA West,ONT8->SEA6,1250,3125,2.50
2026-05-18,NA Central,ORD5->MSP9,1000,2300,2.30
2026-05-25,NA East,DFW1->EWR8,1180,2832,2.40
2026-05-25,NA East,ATL2->BWI4,1050,2205,2.10
2026-05-25,NA West,ONT8->SEA6,1300,3250,2.50
2026-05-25,NA Central,ORD5->MSP9,990,2277,2.30
